0 с,   73.00 м
1 с,   189.35 м
2 с,   278.70 м
3 с,   368.06 м
4 с,   557.41 м
5 с,   646.76 м
6 с,   736.11 м
7 с,   925.46 м
8 с,   1314.81 м
9 с,   1604.17 м
10 с,   1893.52 м
11 с,   2982.87 м
12 с,   3472.22 м
13 с,   3761.57 м
14 с,   4050.93 м
15 с,   4340.28 м
16 с,   4629.63 м
17 с,   4918.98 м
18 с,   5208.33 м
19 с,   5497.69 м
20 с,   5787.04 м
21 с,   6076.39 м
22 с,   6365.74 м
23 с,   6655.09 м
24 с,   6944.44 м
25 с,   7233.80 м
26 с,   7523.15 м
27 с,   7812.50 м
28 с,   8101.85 м
29 с,   8391.20 м
30 с,   8680.56 м
31 с,   8969.91 м
32 с,   9259.26 м
33 с,   9548.61 м
34 с,   9837.96 м
35 с,   10127.31 м
36 с,   10416.67 м
37 с,   10706.02 м
38 с,   10995.37 м
39 с,   11284.72 м
40 с,   11574.07 м
41 с,   11863.43 м
42 с,   12152.78 м
43 с,   12442.13 м
44 с,   12731.48 м
45 с,   13020.83 м
46 с,   13310.19 м
47 с,   13599.54 м
48 с,   13888.89 м
49 с,   14178.24 м
50 с,   14467.59 м
51 с,   14756.94 м
52 с,   15046.30 м
53 с,   15335.65 м
54 с,   15625.00 м
55 с,   15914.35 м
56 с,   16203.70 м
57 с,   16493.06 м
58 с,   16782.41 м
59 с,   17071.76 м
60 с,   17361.11 м
61 с,   17650.46 м
62 с,   17939.81 м
63 с,   18229.17 м
64 с,   18518.52 м
65 с,   18807.87 м
66 с,   19097.22 м
67 с,   19386.57 м
68 с,   19675.93 м
69 с,   19965.28 м
70 с,   20254.63 м
71 с,   20543.98 м
72 с,   20833.33 м
73 с,   21122.69 м
74 с,   21412.04 м
75 с,   21701.39 м
76 с,   21990.74 м
77 с,   22280.09 м
78 с,   22569.44 м
79 с,   22858.80 м
80 с,   23148.15 м
81 с,   23437.50 м
82 с,   23726.85 м
83 с,   24016.20 м
