0 с,   0.00 м/с
1 с,   34.72 м/с
2 с,   69.44 м/с
3 с,   104.17 м/с
4 с,   138.89 м/с
5 с,   173.61 м/с
6 с,   208.33 м/с
7 с,   243.06 м/с
8 с,   277.78 м/с
9 с,   312.50 м/с
10 с,   347.22 м/с
11 с,   381.94 м/с
12 с,   416.67 м/с
13 с,   451.39 м/с
14 с,   486.11 м/с
15 с,   520.83 м/с
16 с,   555.56 м/с
17 с,   590.28 м/с
18 с,   625.00 м/с
19 с,   659.72 м/с
20 с,   694.44 м/с
21 с,   729.17 м/с
22 с,   763.89 м/с
23 с,   798.61 м/с
24 с,   833.33 м/с
25 с,   868.06 м/с
26 с,   902.78 м/с
27 с,   937.50 м/с
28 с,   972.22 м/с
29 с,   1006.94 м/с
30 с,   1041.67 м/с
31 с,   1076.39 м/с
32 с,   1111.11 м/с
33 с,   1145.83 м/с
34 с,   1180.56 м/с
35 с,   1215.28 м/с
36 с,   1250.00 м/с
37 с,   1284.72 м/с
38 с,   1319.44 м/с
39 с,   1354.17 м/с
40 с,   1388.89 м/с
41 с,   1423.61 м/с
42 с,   1458.33 м/с
43 с,   1493.06 м/с
44 с,   1527.78 м/с
45 с,   1562.50 м/с
46 с,   1597.22 м/с
47 с,   1631.94 м/с
48 с,   1666.67 м/с
49 с,   1701.39 м/с
50 с,   1736.11 м/с
51 с,   1770.83 м/с
52 с,   1805.56 м/с
53 с,   1840.28 м/с
54 с,   1875.00 м/с
55 с,   1909.72 м/с
56 с,   1944.44 м/с
57 с,   1979.17 м/с
58 с,   2013.89 м/с
59 с,   2048.61 м/с
60 с,   2083.33 м/с
61 с,   2118.06 м/с
62 с,   2152.78 м/с
63 с,   2187.50 м/с
64 с,   2222.22 м/с
65 с,   2256.94 м/с
66 с,   2291.67 м/с
67 с,   2326.39 м/с
68 с,   2361.11 м/с
69 с,   2395.83 м/с
70 с,   2430.56 м/с
71 с,   2465.28 м/с
72 с,   2500.00 м/с
73 с,   2534.72 м/с
74 с,   2569.44 м/с
75 с,   2604.17 м/с
76 с,   2638.89 м/с
77 с,   2673.61 м/с
78 с,   2708.33 м/с
79 с,   2743.06 м/с
80 с,   2777.78 м/с
81 с,   2812.50 м/с
82 с,   2847.22 м/с
83 с,   2881.94 м/с
84 с,   2916.67 м/с
85 с,   2951.39 м/с
86 с,   2986.11 м/с
87 с,   3020.83 м/с
88 с,   3055.56 м/с
89 с,   3090.28 м/с
90 с,   3125.00 м/с
91 с,   3159.72 м/с
92 с,   3194.44 м/с
93 с,   3229.17 м/с
94 с,   3263.89 м/с
95 с,   3298.61 м/с
96 с,   3333.33 м/с
97 с,   3368.06 м/с
98 с,   3402.78 м/с
99 с,   3437.50 м/с
100 с,   3472.22 м/с
101 с,   3506.94 м/с
102 с,   3541.67 м/с
103 с,   3576.39 м/с
104 с,   3611.11 м/с
105 с,   3645.83 м/с
106 с,   3680.56 м/с
107 с,   3715.28 м/с
108 с,   3750.00 м/с
109 с,   3784.72 м/с
110 с,   3819.44 м/с
111 с,   3854.17 м/с
112 с,   3888.89 м/с
113 с,   3923.61 м/с
114 с,   3958.33 м/с
115 с,   3993.06 м/с
116 с,   4027.78 м/с
117 с,   4062.50 м/с
118 с,   4097.22 м/с
119 с,   4131.94 м/с
120 с,   4166.67 м/с
121 с,   4201.39 м/с
122 с,   4236.11 м/с
123 с,   4270.83 м/с
124 с,   4305.56 м/с
125 с,   4340.28 м/с
126 с,   4375.00 м/с
127 с,   4409.72 м/с
128 с,   4444.44 м/с
129 с,   4479.17 м/с
130 с,   4513.89 м/с
131 с,   4548.61 м/с
132 с,   4583.33 м/с
133 с,   4618.06 м/с
134 с,   4652.78 м/с
135 с,   4687.50 м/с
136 с,   4722.22 м/с
137 с,   4756.94 м/с
138 с,   4791.67 м/с
139 с,   4826.39 м/с
140 с,   4861.11 м/с
141 с,   4895.83 м/с
142 с,   4930.56 м/с
143 с,   4965.28 м/с
144 с,   5000.00 м/с
145 с,   5034.72 м/с
146 с,   5069.44 м/с
147 с,   5104.17 м/с
148 с,   5138.89 м/с
149 с,   5173.61 м/с
150 с,   5208.33 м/с
151 с,   5243.06 м/с
152 с,   5277.78 м/с
153 с,   5312.50 м/с
154 с,   5347.22 м/с
155 с,   5381.94 м/с
156 с,   5416.67 м/с
157 с,   5451.39 м/с
158 с,   5486.11 м/с
159 с,   5520.83 м/с
160 с,   5555.56 м/с
161 с,   5590.28 м/с
162 с,   5625.00 м/с
163 с,   5659.72 м/с
164 с,   5694.44 м/с
165 с,   5729.17 м/с
166 с,   5763.89 м/с
